iter	RMSE
0	14.99198442
1	14.91052499
2	14.83323185
3	14.74944099
4	14.6749162
5	14.59908306
6	14.52921418
7	14.45295787
8	14.38090192
9	14.30984908
10	14.24022526
11	14.17169931
12	14.10857756
13	14.04650663
14	13.98643608
15	13.92757649
16	13.86358243
17	13.80907324
18	13.75066457
19	13.69744089
20	13.64197491
21	13.59398748
22	13.55017232
23	13.50091257
24	13.45248612
25	13.40409413
26	13.35567261
27	13.31335616
28	13.26687064
29	13.22920579
30	13.18205243
31	13.13957653
32	13.10099108
33	13.05651172
34	13.02296225
35	12.98515345
36	12.94716565
37	12.91403894
38	12.87650996
39	12.84129738
40	12.80714122
41	12.77409527
42	12.7384242
43	12.70585113
44	12.67817187
45	12.65032651
46	12.62352782
47	12.59636016
48	12.56566315
49	12.53995241
50	12.51474547
51	12.48905208
52	12.46765614
53	12.43726741
54	12.41247454
55	12.38989169
56	12.358942
57	12.33123651
58	12.31064421
59	12.28584679
60	12.26423012
61	12.24230797
62	12.2229709
63	12.19953766
64	12.18198531
65	12.15374837
66	12.13468031
67	12.113524
68	12.09700274
69	12.07470731
70	12.05226077
71	12.03469068
72	12.0187764
73	12.00104584
74	11.98606341
75	11.96984617
76	11.95292231
77	11.93908832
78	11.92438566
79	11.90814997
80	11.89372318
81	11.87810277
82	11.86497023
83	11.84805028
84	11.83249688
85	11.82033757
86	11.80614102
87	11.79137248
88	11.78115171
89	11.76751284
90	11.75470594
91	11.74447775
92	11.73471492
93	11.72220282
94	11.71205626
95	11.69828146
96	11.68384145
97	11.67108912
98	11.66053764
99	11.64932569
100	11.63582531
101	11.62441961
102	11.61160739
103	11.60291771
104	11.59513121
105	11.58107209
106	11.57126092
107	11.56091752
108	11.55122546
109	11.53962928
110	11.53073021
111	11.52266615
112	11.51347547
113	11.50087163
114	11.49354408
115	11.48397868
116	11.47581887
117	11.46634923
118	11.45970802
119	11.45023301
120	11.44102072
121	11.41033872
122	11.4035957
123	11.39199841
124	11.3842786
125	11.37145359
126	11.36462093
127	11.35660075
128	11.35044696
129	11.33965812
130	11.33080014
131	11.32462217
132	11.31547529
133	11.30635013
134	11.29569073
135	11.28173179
136	11.27539594
137	11.26815131
138	11.25940235
139	11.25006794
140	11.23815851
141	11.21053314
142	11.20532569
143	11.19068333
144	11.18495007
145	11.17847978
146	11.1715607
147	11.16304393
148	11.14914635
149	11.14158533
150	11.13578868
151	11.12963399
152	11.1211053
153	11.11462031
154	11.10545187
155	11.10089243
156	11.07691156
157	11.07024657
158	11.04435864
159	11.03675538
160	11.02947298
161	11.00649245
162	11.00171537
163	10.99725348
164	10.99221471
165	10.98638918
166	10.97970652
167	10.97364683
168	10.96648429
169	10.9382447
170	10.93448256
171	10.92997207
172	10.92112247
173	10.91427908
174	10.90721107
175	10.90114905
176	10.8966078
177	10.89110479
178	10.86704474
179	10.8588908
180	10.85020951
181	10.83505042
182	10.82909375
183	10.82291807
184	10.81456174
185	10.81098886
186	10.80630178
187	10.80140202
188	10.79631199
189	10.79195206
190	10.78677216
191	10.76559305
192	10.75851029
193	10.75480137
194	10.73397583
195	10.72717367
196	10.71997232
197	10.71431652
198	10.71047994
199	10.69799044
200	10.68619986
201	10.67996288
202	10.67558725
203	10.66834192
204	10.65677413
205	10.65106504
206	10.64607841
207	10.62607853
208	10.62221328
209	10.61292078
210	10.58838814
211	10.56465203
212	10.54668985
213	10.53934482
214	10.53110624
215	10.52174484
216	10.51648674
217	10.51090507
218	10.48879617
219	10.48421142
220	10.47910304
221	10.474582
222	10.45722556
223	10.45364923
224	10.44948974
225	10.4448355
226	10.44087791
227	10.42815563
228	10.42323709
229	10.40721496
230	10.402402
231	10.39462184
232	10.38999351
233	10.38379516
234	10.3805434
235	10.37741449
236	10.37309337
237	10.36909911
238	10.36566727
239	10.36051921
240	10.35697475
241	10.35231654
242	10.34886743
243	10.34516104
244	10.34134362
245	10.33704661
246	10.33273892
247	10.32793712
248	10.32375888
249	10.30723433
250	10.30404135
251	10.30039785
252	10.29476538
253	10.29114399
254	10.2884056
255	10.28481384
256	10.27648922
257	10.27331039
258	10.2696797
259	10.26541692
260	10.26238679
261	10.25826757
262	10.25125158
263	10.24588143
264	10.24076954
265	10.23601495
266	10.21612672
267	10.19689111
268	10.19159436
269	10.18534408
270	10.1830863
271	10.17634427
272	10.17364025
273	10.16957461
274	10.16682718
275	10.16229911
276	10.15760339
277	10.15483927
278	10.15196146
279	10.14818766
280	10.14472352
281	10.14134951
282	10.13348815
283	10.1283662
284	10.11705236
285	10.1139415
286	10.10871456
287	10.10579847
288	10.10242686
289	10.09818931
290	10.09512544
291	10.09244038
292	10.08773124
293	10.08576311
294	10.08159663
295	10.07725393
296	10.07493975
297	10.07115793
298	10.05781614
299	10.04204542
300	10.03821861
301	10.03596214
302	10.03278196
303	10.03043503
304	10.02815197
305	10.02429785
306	10.02116206
307	10.00760284
308	10.00564495
309	9.993717428
310	9.990086966
311	9.986148493
312	9.982997306
313	9.980046461
314	9.977098544
315	9.972703038
316	9.968474332
317	9.966560249
318	9.9590465
319	9.954305646
320	9.950634791
321	9.947526328
322	9.944291144
323	9.941159522
324	9.937575303
325	9.933183806
326	9.930315152
327	9.92774103
328	9.925321187
329	9.921849511
330	9.919210584
331	9.917557158
332	9.91510047
333	9.911954364
334	9.907132349
335	9.905094029
336	9.902148567
337	9.888091797
338	9.884482614
339	9.874414464
340	9.869971384
341	9.866320286
342	9.864354872
343	9.85806121
344	9.855823379
345	9.852685095
346	9.848154423
347	9.84470846
348	9.841472136
349	9.838061215
350	9.835456286
351	9.832678855
352	9.83007776
353	9.82639785
354	9.823683367
355	9.821031964
356	9.818343995
357	9.815060364
358	9.812166711
359	9.808330317
360	9.798121705
361	9.794710685
362	9.790937065
363	9.788626802
364	9.786760859
365	9.784667574
366	9.778916641
367	9.773241035
368	9.770618111
369	9.767534594
370	9.762793115
371	9.758541798
372	9.756007245
373	9.75264719
374	9.750710809
375	9.748164208
376	9.745367148
377	9.740633697
378	9.731173619
379	9.728346618
380	9.724416057
381	9.71546421
382	9.701438796
383	9.697560848
384	9.694695304
385	9.686706652
386	9.68439607
387	9.681800198
388	9.668546534
389	9.660252918
390	9.656624412
391	9.653222953
392	9.649538997
393	9.647109752
394	9.632148649
395	9.628741276
396	9.625623849
397	9.622934059
398	9.62092623
399	9.617244869
400	9.614671775
401	9.612526537
402	9.610729091
403	9.607993774
404	9.59915665
405	9.595433469
406	9.591939729
407	9.587469103
408	9.584818359
409	9.579740845
410	9.569768473
411	9.563663476
412	9.559796453
413	9.552968455
414	9.550635058
415	9.546735612
416	9.544348882
417	9.540037918
418	9.536495558
419	9.532308887
420	9.530648237
421	9.52689135
422	9.52354198
423	9.519730035
424	9.51672304
425	9.513743108
426	9.511885151
427	9.509788397
428	9.507401322
429	9.505077503
430	9.502143451
431	9.500080029
432	9.498389862
433	9.494931284
434	9.491897207
435	9.487978942
436	9.484153752
437	9.481655975
438	9.479466836
439	9.477674697
440	9.468739102
441	9.464957998
442	9.462098607
443	9.459383323
444	9.452852861
445	9.450092575
446	9.446653532
447	9.443362695
448	9.441259598
449	9.438157671
450	9.436387526
451	9.43468628
452	9.431952858
453	9.430347196
454	9.427325809
455	9.425432452
456	9.421814123
457	9.413917428
458	9.411812153
459	9.408273938
460	9.404060089
461	9.400875857
462	9.398714471
463	9.395207693
464	9.385685613
465	9.381659719
466	9.378893118
467	9.370167685
468	9.366955891
469	9.36484713
470	9.362017468
471	9.35839437
472	9.354456873
473	9.351968715
474	9.349503041
475	9.348071941
476	9.344121292
477	9.34032309
478	9.336614992
479	9.332470566
480	9.329189121
481	9.326675581
482	9.325103539
483	9.321005243
484	9.319013866
485	9.316514966
486	9.308822363
487	9.30627618
488	9.303068141
489	9.292316409
490	9.289904098
491	9.288045662
492	9.285543702
493	9.282986514
494	9.280508546
495	9.27889216
496	9.270050578
497	9.267155552
498	9.262549793
499	9.25550168
500	9.252820646
501	9.250546928
502	9.246724845
503	9.240008072
504	9.237321713
505	9.225412078
506	9.223011389
507	9.220190652
508	9.212422864
509	9.205934412
510	9.204184464
511	9.200495004
512	9.197231498
513	9.188788916
514	9.184718763
515	9.181385848
516	9.17845378
517	9.175948504
518	9.172709697
519	9.169149348
520	9.166530582
521	9.164476714
522	9.160496495
523	9.148471329
524	9.140495399
525	9.1297535
526	9.127768318
527	9.121472794
528	9.118487122
529	9.11632299
530	9.105809997
531	9.099254656
532	9.091879386
533	9.089184274
534	9.081404171
535	9.078298759
536	9.074957771
537	9.07226363
538	9.068744735
539	9.057337185
540	9.04677903
541	9.039191818
542	9.035420421
543	9.033089444
544	9.030641564
545	9.026489962
546	9.02393582
547	9.021232942
548	9.01529273
549	9.013132805
550	9.009383219
551	9.0057578
552	9.002220725
553	8.995913237
554	8.992173323
555	8.988397137
556	8.985429613
557	8.979077879
558	8.971903935
559	8.968291429
560	8.965237974
561	8.96182489
562	8.956046307
563	8.950437735
